user,name,category,price,url,description
사용자,맥북에어 M2,2,1485900,https://smartstore.naver.com/n_store7/products/7888846408,"Apple 맥북 에어 2022년 M2 8코어 CPU 및 8코어 GPU 256G 미드나이트
M1에서 갈아탈 때가 되었다."
염탐꾼,1++(9)등급 한우선물세트 구이모듬 1kg 명절선물,3,153180,http://item.gmarket.co.kr/Item?goodscode=2203992721,현재 빅스마일데이라서 할인하면 123180원에 구매 쌉가능
소유자,레투캐리어 큐브 24인치,1,129000,https://smartstore.naver.com/retoo/products/4879223742,디자인이 특이하고 예쁨
관리자,시디즈 T50 AIR 의자(화이트),5,399000,https://kr.sidiz.com/product/TXB520HLDA(%ED%99%94%EC%9D%B4%ED%8A%B8%EC%89%98)/2D4,의자가 편해야 집중을 잘한다.
염탐꾼,LG전자 디오스 냉장고 S834MKE10,2,1156170,https://www.lotteon.com/p/product/LO2115539811,냉장고도 가구다
사용자,맨즈스킨 워터빌딩크림 (남자 수분크림),4,28000,http://www.mansskin.co.kr/shop/shopdetail.html?branduid=771476&xcode=001&mcode=004&scode=&type=X&sort=manual&cur_code=001&GfDT=bmt6W1o%3D,촉촉하고 좋은 수분크림.
구경꾼,오키미키 폴딩 월베드 접이식 벽침대,5,329000,https://smartstore.naver.com/okimiki/products/4673703923,공간 활용에 좋을 것 같다.
소유자, 랩시리즈 데일리 레스큐 에너자이징 훼이스 로션 50ml,4,68400,https://brand.naver.com/labserieskorea/products/6970060521,파란스킨 60ml 증정
관리자,생기엔 메가센파워 메가세트 10개,3,22300,http://itempage3.auction.co.kr/DetailView.aspx?ItemNo=C342270363&frm3=V2,피곤할때 에너지 보충에 좋음
구경꾼,노트북 백팩 바이트(M)_빈티지 카키,1,123300,https://www.ellyfactory.com/product/detail.html?product_no=338&cate_no=116&display_group=1,출근할때 메고 다니면 예쁘고 좋을듯
